,Race - Other,Race - Multiracial,Race - Prefer not to answer,Race - American Indian or Alaska Native,Race - Asian or Pacific Islander,Race - Black or African American,Race - White or Caucasian,Ethnicity,Gender,Sexual Orientation,Hometown,What is the highest level of education someone in your immediate family (Mom/Dad/Brother/Sister) has completed?,What is your family's approximate yearly income (in US Dolllars)?,Academic Stage
natros-001,False,True,False,False,True,False,True,Hispanic or Latino,Female ,Heterosexual,"Suburban town (10,000 - 50,000 people)","Some college, but no degree","$50,000 - $59,999",College junior
nakbyn-001,False,True,False,True,False,True,False,Hispanic or Latino,Female ,Heterosexual,"Small City (50,000 - 150,000 people)",Prefer not to say,"Less than $10,000",College senior
yvobon-001,False,False,False,False,False,True,False,Not Hispanic or Latino,Female ,Heterosexual,"Large City (>150,000 people)",High school diploma or GED,"$30,000 - $39,999",College senior
estnar-001,False,True,False,False,True,False,True,Hispanic or Latino,Female ,Heterosexual,"Small town (2,500 - 10,000 people)",Bachelor’s degree,"$100,000 - $149,999",College graduate/Post-baccalaureate
nsiudo-001,True,True,False,False,False,True,False,Not Hispanic or Latino,Male,Heterosexual,"Suburban town (10,000 - 50,000 people)",Graduate or professional degree,"More than $150,000",College graduate/Post-baccalaureate
piebit-001,False,False,False,False,False,True,False,Not Hispanic or Latino,Male,Heterosexual,"Large City (>150,000 people)","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000 - $59,999",College senior
danrob-001,False,True,False,False,True,False,True,Hispanic or Latino,Male,Heterosexual,"Large City (>150,000 people)","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","More than $150,000",College sophomore
matmar-001,False,True,False,False,True,False,True,Hispanic or Latino,Male,Heterosexual,"Suburban town (10,000 - 50,000 people)","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$90,000 - $99,999",College freshman
aiywil-001,False,False,False,False,False,True,False,Not Hispanic or Latino,Female,Heterosexual,"Large City (>150,000 people)",High school diploma or GED,"$60,000 - $69,999",College junior
kaybed-001,False,False,True,False,False,False,False,Not Hispanic or Latino,Female ,Prefer not to answer,"Small town (2,500 - 10,000 people)",High school diploma or GED,"$70,000 - $79,999",College junior
flooro-001,True,True,False,False,True,False,True,Hispanic or Latino,Female,Other,"Small town (2,500 - 10,000 people)","Some college, but no degree","$60,000 - $69,999",College senior
prarim-001,False,False,False,False,True,False,False,Not Hispanic or Latino,Female,Heterosexual,"Suburban town (10,000 - 50,000 people)",Some high school or less,"$50,000 - $59,999",College sophomore
martor-001,False,False,False,True,False,False,False,Hispanic or Latino,Female,Heterosexual,"Small town (2,500 - 10,000 people)",Some high school or less,"$30,000 - $39,999",College junior
shasan-001,False,False,False,False,False,True,False,Hispanic or Latino,Female ,Heterosexual,"Large City (>150,000 people)",High school diploma or GED,"$30,000 - $39,999",College sophomore
tifche-001,False,False,False,False,True,False,False,Not Hispanic or Latino,Female ,Prefer not to answer,"Suburban town (10,000 - 50,000 people)",Some high school or less,"$60,000 - $69,999",College freshman
ashwat-001,False,False,False,False,False,True,False,Not Hispanic or Latino,Female ,Heterosexual,"Large City (>150,000 people)","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","More than $150,000",College sophomore
selbed-001,False,False,False,False,False,True,False,Not Hispanic or Latino,Female,Heterosexual,"Small City (50,000 - 150,000 people)",Bachelor’s degree,"$100,000 - $149,999",College sophomore
jensmi-001,False,False,False,False,False,True,False,Not Hispanic or Latino,Female ,Heterosexual,"Suburban town (10,000 - 50,000 people)","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","More than $150,000",College senior
jonshe-001,False,True,False,False,True,False,True,Not Hispanic or Latino,Female ,Heterosexual,"Small City (50,000 - 150,000 people)","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$20,000 - $29,999",College junior
juschi-001,False,False,False,False,False,True,False,Not Hispanic or Latino,Male,Heterosexual,"Small town (2,500 - 10,000 people)",Bachelor’s degree,"$40,000 - $49,999",College graduate/Post-baccalaureate
cyndin-001,False,False,False,False,True,False,False,Not Hispanic or Latino,Female ,Heterosexual,"Large City (>150,000 people)",Bachelor’s degree,"$60,000 - $69,999",College freshman
brigro-001,False,False,False,False,False,True,False,Not Hispanic or Latino,Female ,Heterosexual,"Suburban town (10,000 - 50,000 people)",High school diploma or GED,"$10,000 - $19,999",College senior
emmcam-001,False,False,False,False,False,True,False,Hispanic or Latino,Female ,Bisexual,"Large City (>150,000 people)",High school diploma or GED,"$30,000 - $39,999",Other
criort-001,True,False,False,False,False,False,False,Hispanic or Latino,Female ,Heterosexual,"Small town (2,500 - 10,000 people)",Some high school or less,"$30,000 - $39,999",College junior
persan-001,False,False,False,False,False,True,False,Hispanic or Latino,Female ,Heterosexual,"Suburban town (10,000 - 50,000 people)",Bachelor’s degree,"$100,000 - $149,999",College freshman
kayand-001,False,False,False,False,False,True,False,Not Hispanic or Latino,Female,Heterosexual,"Large City (>150,000 people)",Prefer not to say,"$70,000 - $79,999",College junior
kevdel-001,False,False,False,False,False,True,False,Hispanic or Latino,Male,Heterosexual,"Suburban town (10,000 - 50,000 people)","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000 - $59,999",College junior
laupet-001,False,True,False,False,True,False,True,Not Hispanic or Latino,Female ,Heterosexual,"Small town (2,500 - 10,000 people)","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","More than $150,000",College graduate/Post-baccalaureate
bribro-001,False,False,False,False,False,True,False,Not Hispanic or Latino,Female,Heterosexual,"Small City (50,000 - 150,000 people)",Graduate or professional degree,"$100,000 - $149,999",College senior
markry-001,False,True,False,False,True,False,True,Not Hispanic or Latino,Female ,Heterosexual,"Large City (>150,000 people)","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","More than $150,000",College sophomore
wilbal-001,False,False,False,False,False,True,False,Not Hispanic or Latino,Male,Heterosexual,"Suburban town (10,000 - 50,000 people)",Graduate or professional degree,"More than $150,000",College junior
isatay-001,False,False,False,False,False,True,False,Not Hispanic or Latino,Male,Heterosexual,"Small town (2,500 - 10,000 people)",Bachelor’s degree,"$70,000 - $79,999",College freshman
maycha-001,False,False,False,False,True,False,False,Not Hispanic or Latino,Female ,Heterosexual,"Suburban town (10,000 - 50,000 people)",Bachelor’s degree,"$100,000 - $149,999",College sophomore
megkat-001,False,False,False,False,True,False,False,Not Hispanic or Latino,Female ,Heterosexual,"Large City (>150,000 people)","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","More than $150,000",College sophomore
ekeeno-001,False,False,False,False,False,True,False,Not Hispanic or Latino,Male,Heterosexual,"Small City (50,000 - 150,000 people)",Bachelor’s degree,"More than $150,000",College senior
adisha-001,False,False,False,False,True,False,False,Not Hispanic or Latino,Male,Heterosexual,"Small town (2,500 - 10,000 people)",Prefer not to say,"More than $150,000",College freshman
ashalc-001,False,False,True,False,False,False,False,Hispanic or Latino,Female ,Heterosexual,"Small town (2,500 - 10,000 people)",Some high school or less,"$100,000 - $149,999",College junior
sieput-001,False,False,False,False,False,True,False,Not Hispanic or Latino,Female ,Prefer not to answer,"Small town (2,500 - 10,000 people)","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","Less than $10,000",College junior
maydua-001,False,True,False,False,True,False,True,Hispanic or Latino,Female,Bisexual,"Small City (50,000 - 150,000 people)",High school diploma or GED,"$60,000 - $69,999",College freshman
julbur-001,False,True,False,False,True,False,True,Hispanic or Latino,Male,Heterosexual,"Suburban town (10,000 - 50,000 people)","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","More than $150,000",College senior
marbou-001,False,True,False,False,True,False,True,Hispanic or Latino,Female ,Heterosexual,"Small City (50,000 - 150,000 people)",Bachelor’s degree,"More than $150,000",College sophomore
jorjac-001,False,False,False,False,False,True,False,Not Hispanic or Latino,Female ,Heterosexual,"Small City (50,000 - 150,000 people)","Some college, but no degree","$60,000 - $69,999",College senior
